"Ref","Pieces","Device","Value","Package","Description","Suplier","Suplier Part Number","URL","Total Pieces","Birim USD","Maaliyet"
"C1, C3, C4, C5, C8, C9, C10, C11, C12, C13, C14, C16, C17, C18","14","C","0.1uF","0402","MLCC (1005) 0402 100nF 16VDC Â±10% X7R","Ozdisan","CL05B104KO5NNNC","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/kapasitorler/smt-smd-ve-mlcc-kapasitorler/CL05B104KO5NNNC/336698"")"
"C2","1","C","10uF","0402","MLCC (1005) 0402 10uF 10VDC Â±20% X5R","Ozdisan","CL05A106MP5NUNC","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/kapasitorler/smt-smd-ve-mlcc-kapasitorler/CL05A106MP5NUNC/457532"")"
"C6","1","C","2.2uF","0402","MLCC (1005) 0402 2.2uF 6.3VDC Â±20% X5R","Ozdisan","CL05A225MQ5NNNC","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/kapasitorler/smt-smd-ve-mlcc-kapasitorler/CL05A225MQ5NNNC/521876"")"
"C7","1","C","4.7uF","0402","MLCC (1005) 0402 4.7uF 10VDC Â±20 X5R","Ozdisan","GRM155R61A475MEAAD","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/kapasitorler/smt-smd-ve-mlcc-kapasitorler/GRM155R61A475MEAAD/627444"")"
"C15","1","C","10nF","0402","MLCC (1005) 0402 10nF 50VDC Â±10% X7R","Ozdisan","CL05B103KB5NNNC","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/kapasitorler/smt-smd-ve-mlcc-kapasitorler/CL05B103KB5NNNC/30282"")"
"D1, D4, D5, D6, D7","5","MBR0540","1N5819","SOD123","DIODE SCHOTTKY 1A 40V SOD123","Ozdisan","1N5819HW-7-F","=KÖPRÜ(""https://ozdisan.com/Product/Detail/417246/1N5819HW-7-F"")"
"D2","1","LED","GREEN","0603","LED SMD 0603 GREEN 500mcd 120Â° WATER CLEAR","Ozdisan","HL-PST-1608U51GC","=KÖPRÜ(""https://ozdisan.com/led-ve-aydinlatma-cozumleri/led-komponentler/sinyal-ledler-tek-renkli/HL-PST-1608U51GC/471660"")"
"D3","1","LED","RED","0603","LED SMD 0603 RED SUNLIGHT","Ozdisan","19-213USRC/S259/TR8","=KÖPRÜ(""https://ozdisan.com/led-ve-aydinlatma-cozumleri/led-komponentler/sinyal-ledler-tek-renkli/19-213USRCS259TR8/645416"")"
"F1","1","Polyfuse_Small","500mA/6V","0805 ","THERMISTOR PTC RESETTABLE FUSE 0805 500mA 6V","Ozdisan","KMC2S050RY","=KÖPRÜ(""https://ozdisan.com/devre-koruyucular/sigorta-bilesenleri/ptc-sigortalar/KMC2S050RY/645180"")"
"J1","1","Conn_01x02_Pin","1S Lipo","","","","","=KÖPRÜ("""")"
"J2","1","USB_B_Micro","1051330011","SMT V/T","CONNECTOR MICRO USB B TYPE 2.0 VERT SMT 180C","Ozdisan","MOLEX-1051330011","=KÖPRÜ(""https://ozdisan.com/Product/Detail/705161/MOLEX-1051330011"")"
"L1","1","Inductor","1uH","0806 ","INDUCTOR FIXED 1UH 2.2A SMD","Ozdisan","DFE201612PD-1R0M=P2","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/induktorler/sabit-induktorler/DFE201612PD-1R0MP2/737276"")"
"L2","1","L_Small","220R","0603","FERRITE BEAD 0603 220R 1.4A","Ozdisan","BLM18PG221SN1D","=KÖPRÜ(""https://b2b.ozdisan.com/Product/Detail/484088/BLM18PG221SN1D"")"
"M1, M2, M3, M4","4","Conn_01x02_Male","53047-0210","THT/VT","Headers & Wire Housings VERTICAL HDR 2P","Aliexpress","53047-0210","=KÖPRÜ(""https://tr.aliexpress.com/item/1005005909742256.html?spm=a2g0o.productlist.main.3.7e9b5Eei5EeiE2&algo_pvid=6d470897-52dd-49af-9142-36ed9b0defca&algo_exp_id=6d470897-52dd-49af-9142-36ed9b0defca-1&pdp_npi=4%40dis%21TRY%2136.14%2136.14%21%21%217.67%217.67%21%402101e9ec17112000811413766e71e4%2112000034805206267%21sea%21TR%21755002112%21&curPageLogUid=jTQazxHx8tsk&utparam-url=scene%3Asearch%7Cquery_from%3A"")"
"Q1","1","IRLML6402","IRLML6402","SOT23","MOSFET DIS.3.7A 20V P-CH SOT23 HEXFET SMT","Ozdisan","IRLML6402TRPBF","=KÖPRÜ(""https://ozdisan.com/Product/Detail/420776/IRLML6402TRPBF"")"
"Q2","1","MMBT3904","MMBT3904","SOT23","TRANSISTOR DIS.200mA 40V NPN SOT23 EPITAXIAL SMT","Ozdisan","MMBT3904-HT","=KÖPRÜ(""https://ozdisan.com/guc-yari-iletkenleri/transistorler/discrete-transistorler/MMBT3904-HT/468189"")"
"Q3, Q4, Q5, Q6","4","SIS434DN_1","SIS434DN","PPAK1212-8","MOSFET DIS.35A 40V N-CH PPAK1212-8 TRENCHFET SMT","Ozdisan","SIS434DN-T1-GE3","=KÖPRÜ(""https://ozdisan.com/Product/Detail/496913/SIS434DN-T1-GE3"")"
"R1, R2, R4, R5, R10, R16, R17, R18, R19, R20","10","Resistor","10K","0402","RES.(1005) 0402 10K Ohms 5% 1/16W 100PPM","Ozdisan","0402WGJ0103TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGJ0103TCE/362331"")"
"R3","1","Resistor","100K","0402","RES.(1005) 0402 100K Ohms 5% 1/16W 100PPM","Ozdisan","0402WGJ0104TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGJ0104TCE/402504"")"
"R6, R7","2","Resistor","22R %1","0402","RES.(1005) 0402 22 Ohms 1% 1/16W 100PPM SMT","Ozdisan","RC0402FR-0722RL","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/RC0402FR-0722RL/437110"")"
"R8","1","Resistor","15K %1","0402","RES.(1005) 0402 15K Ohms 1% 1/16W 100PPM","Ozdisan","0402WGF1502TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGF1502TCE/350350"")"
"R9","1","Resistor","22K %1","0402","RES.(1005) 0402 22K Ohms 1% 1/16W 100PPM","Ozdisan","0402WGF2202TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGF2202TCE/359884"")"
"R11, R12","2","Resistor","4.7K","0402","RES.(1005) 0402 4.7K Ohms 5% 1/16W 100PPM","Ozdisan","0402WGJ0472TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGJ0472TCE/431884"")"
"R13, R14, R15","3","Resistor","470R","0402","RES.(1005) 0402 470 Ohms 5% 1/16W 100PPM","Ozdisan","0402WGJ0471TCE","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/direncler/smt-smd-ve-cip-direncler/0402WGJ0471TCE/453099"")"
"SW1","1","SW_MEC_5G","B3U-1000P","SMT V/T","SWITCH TACT 3.00x2.50 1.60mm 153gF SMT V/T","Ozdisan","B3U-1000P","=KÖPRÜ(""https://ozdisan.com/elektromekanik-komponentler/sivicler-ve-anahtarlar/tact-sivicler/B3U-1000P/517704"")"
"TP1","1","TestPoint","U1_TX","","","","","=KÖPRÜ("""")"
"TP2","1","TestPoint","U1_RX","","","","","=KÖPRÜ("""")"
"TP3","1","TestPoint","SWDIO","","","","","=KÖPRÜ("""")"
"TP4","1","TestPoint","SWCLK","","","","","=KÖPRÜ("""")"
"TP5","1","TestPoint","SWO","","","","","=KÖPRÜ("""")"
"TP6","1","TestPoint","NRST","","","","","=KÖPRÜ("""")"
"TP7","1","TestPoint","PB0","","","","","=KÖPRÜ("""")"
"U1","1","TPS63031DSK","TPS63031DSK","","","","","=KÖPRÜ("""")"
"U2","1","STM32F722RETx","STM32F722RETx","LQFP64","IC MCU 32BIT 512KB FLASH 64LQFP","Ozdisan","STM32F722RET6","=KÖPRÜ(""https://ozdisan.com/entegre-devreler-icler/embedded-entegreler/mikroislemciler/STM32F722RET6/638141"")"
"U3","1","MPU-6500","MPU-6500","","","","","=KÖPRÜ("""")"
"U4","1","MS5611-01BA","MS5611-01BA","8-SMD","SENSOR BAROMETRIC PRESSURE 1.8V-3.6V","Ozdisan","MS561101BA03-50","=KÖPRÜ(""https://ozdisan.com/Product/Detail/616292/MS561101BA03-50"")"
"U5","1","W25X20CLUXIG_TR","W25Q80DVUXIE-TR","USON8","IC-25Q80 FLASH 8MB 104MHZ 8-USON","Ozidsan","W25Q80DVUXIE-TR","=KÖPRÜ(""https://ozdisan.com/entegre-devreler-icler/hafiza-entegreleri/hafiza-entegreleri/W25Q80DVUXIE-TR/622014"")"
"U6","1","5020","5020","","","","","=KÖPRÜ("""")"
"Y1","1","Resonator_Small","8MHz","3-SMD","CRYSTAL RESONATOR 8.00MHZ 33PF SMD","Ozdisan","CSTCE8M00G55-R0","=KÖPRÜ(""https://ozdisan.com/pasif-komponentler/kristaller-osilatorler-ve-rezanatorler/rezonatorler/CSTCE8M00G55-R0/708030"")"
"Date:","24.03.2024 23:41:49"
"Tool:","Eeschema 7.0.8"
"Component Count:","75"
